"ID","GP","Tps_T_SVT-TC","Tps_T_SVT-TR","Tps_T_SVT-TI","Tps_T_SES-TC","Tps_T_SES-TR","Tps_T_SES-TI","Tps_RI_SES-TC","Tps_RI_SES-TR","Tps_RI_SES-TI","Tps_RI_SVT-TC","Tps_RI_SVT-TR","Tps_RI_SVT-TI","Tps_Xplo_SVT-TC","Tps_Xplo_SVT-TR","Tps_Xplo_SVT-TI","Tps_Xplo_SES-TC","Tps_Xplo_SES-TR","Tps_Xplo_SES-TI","Tps_XplR_SES-TC","Tps_XplR_SES-TR","Tps_XplR_SES-TI","Tps_XplR_SVT-TC","Tps_XplR_SVT-TR","Tps_XplR_SVT-TI","Tps_Co_SVT-TC","Tps_Co_SVT-TR","Tps_Co_SVT-TI","Tps_Co_SES-TC","Tps_Co_SES-TR","Tps_Co_SES-TI","FOK_SES-TC","FOK_SES-TR","FOK_SES-TI","FOK_SVT-TC","FOK_SVT-TR","FOK_SVT-TI","FOF_G_SVT-TC","FOF_G_SVT-TR","FOF_G_SVT-TI","FOF_G_SES-TC","FOF_G_SES-TR","FOF_G_SES-TI","FOF_R_SES-TC","FOF_R_SES-TR","FOF_R_SES-TI","FOF_R_SVT-TC","FOF_R_SVT-TR","FOF_R_SVT-TI","FOF_D_SVT-TC","FOF_D_SVT-TR","FOF_D_SVT-TI","FOF_D_SES-TC","FOF_D_SES-TR","FOF_D_SES-TI","NB_R_SES-TC","NB_R_SES-TR","NB_R_SES-TI","NB_R_SVT-TC","NB_R_SVT-TR","NB_R_SVT-TI","NB_D_SVT-TC","NB_D_SVT-TR","NB_D_SVT-TI","NB_D_SES-TC","NB_D_SES-TR","NB_D_SES-TI","Rel_SES-TC","Rel_SES-TR","Rel_SES-TI","Rel_SVT-TC","Rel_SVT-TR","Rel_SVT-TI","SW2a_SVT-TC","SW2a_SVT-TR","SW2a_SVT-TI","SW2a_SES-TC","SW2a_SES-TR","SW2a_SES-TI","SW2b_SES-TC","SW2b_SES-TR","SW2b_SES-TI","SW2b_SVT-TC","SW2b_SVT-TR","SW2b_SVT-TI","ZTps_T_SVT.TC","ZTps_T_SVT.TR","ZTps_T_SVT.TI","ZTps_T_SES.TC","ZTps_T_SES.TR","ZTps_T_SES.TI","ZTps_RI_SES.TC","ZTps_RI_SES.TR","ZTps_RI_SES.TI","ZTps_RI_SVT.TC","ZTps_RI_SVT.TR","ZTps_RI_SVT.TI","ZTps_Xplo_SVT.TC","ZTps_Xplo_SVT.TR","ZTps_Xplo_SVT.TI","ZTps_Xplo_SES.TC","ZTps_Xplo_SES.TR","ZTps_Xplo_SES.TI","ZTps_XplR_SES.TC","ZTps_XplR_SES.TR","ZTps_XplR_SES.TI","ZTps_XplR_SVT.TC","ZTps_XplR_SVT.TR","ZTps_XplR_SVT.TI","ZTps_Co_SVT.TC","ZTps_Co_SVT.TR","ZTps_Co_SVT.TI","ZTps_Co_SES.TC","ZTps_Co_SES.TR","ZTps_Co_SES.TI","ZFOK_SES.TC","ZFOK_SES.TR","ZFOK_SES.TI","ZFOK_SVT.TC","ZFOK_SVT.TR","ZFOK_SVT.TI","ZFOF_G_SVT.TC","ZFOF_G_SVT.TR","ZFOF_G_SVT.TI","FZOF_G_SES.TC","ZFOF_G_SES.TR","ZFOF_G_SES.TI","ZFOF_R_SES.TC","ZFOF_R_SES.TR","ZFOF_R_SES.TI","ZFOF_R_SVT.TC","ZFOF_R_SVT.TR","ZFOF_R_SVT.TI","ZFOF_D_SVT.TC","ZFOF_D_SVT.TR","ZFOF_D_SVT.TI","ZFOF_D_SES.TC","ZFOF_D_SES.TR","ZFOF_D_SES.TI","ZNB_R_SES.TC","ZNB_R_SES.TR","ZNB_R_SES.TI","ZNB_R_SVT.TC","ZNB_R_SVT.TR","ZNB_R_SVT.TI","ZNB_D_SVT.TC","ZNB_D_SVT.TR","ZNB_D_SVT.TI","ZNB_D_SES.TC","ZNB_D_SES.TR","ZNB_D_SES.TI","ZRel_SES.TC","ZRel_SES.TR","ZRel_SES.TI","ZRel_SVT.TC","ZRel_SVT.TR","ZRel_SVT.TI","ZSW2a_SVT.TC","ZSW2a_SVT.TR","ZSW2a_SVT.TI","ZSW2a_SES.TC","ZSW2a_SES.TR","ZSW2a_SES.TI","ZSW2b_SES.TC","ZSW2b_SES.TR","ZSW2b_SES.TI","ZSW2b_SVT.TC","ZSW2b_SVT.TR","ZSW2b_SVT.TI","LgTps_T_SVT.TC","LgTps_T_SVT.TR","LgTps_T_SVT.TI","LgTps_T_SES.TC","LgTps_T_SES.TR","LgTps_T_SES.TI","LgTps_RI_SES.TC","LgTps_RI_SES.TR","LgTps_RI_SES.TI","LgTps_RI_SVT.TC","LgTps_RI_SVT.TR","LgTps_RI_SVT.TI","LgTps_Xplo_SVT.TC","LgTps_Xplo_SVT.TR","LgTps_Xplo_SVT.TI","LgTps_Xplo_SES.TC","LgTps_Xplo_SES.TR","LgTps_Xplo_SES.TI","LgTps_XplR_SES.TC","LgTps_XplR_SES.TR","LgTps_XplR_SES.TI","LgTps_XplR_SVT.TC","LgTps_XplR_SVT.TR","LgTps_XplR_SVT.TI","LgTps_Co_SVT.TC","LgTps_Co_SVT.TR","LgTps_Co_SVT.TI","LgTps_Co_SES.TC","LgTps_Co_SES.TR","LgTps_Co_SES.TI"
"albofes","ses",356818,287488,181165,875076,406778,504298,135865,221418,329115,143967,118944,125085,42375,44740,63526,66562.0,145962,274746,69303.0,75456,54369,101592,74204,61559,34688,22596,17143,26083.0,49115,38485,2,3,2,4,3,5,3,3,4,2,2,2,2,3,3,3,3,4,4,4,6,3,5,3,1,1,2,1,2,4,2,3,4,4,7,5,1,4,2,0,0,1,4,2,1,4,6,4,0,0,1,0,1,3,0.456675974,-0.31816776,-0.9959945,1.8474684191,-0.12767229,0.63404002,0.08198303,0.438362346,1.56371403,0.72034694,-0.40235175,-0.46527113,-0.34214994,-0.82169067,-0.74317513,-0.291703582,0.18971616,1.423387876,1.674051474,0.9591473832,1.044701268,4.5746882,0.74476088,0.57493164,0.150233936,-0.8200950759,-0.95720438,-0.6459826,-0.328309988,-0.427591018,-0.4149043,-0.3973956,-1.14885301,1.30390332,0.07887304,0.9013472,0.56616515,0.04135812,0.1740967,-0.43230795,-0.92703562,-1.11363,-0.04780094,-0.02825134,-0.449496,1.3077516,0.3646377,0.71517452,1.1420704,0.1421857,0.7994145,-0.01143318,0.1551469,-0.8569405,-0.3947468,-0.6708854,0.5614889,-0.2585692,0.2187616,1.3549447,0.5054345,0.1203538,0.57187224,1.7373787,2.6823045,1.8171439,-0.01285876,1.1121417,0.4303903,-0.6492146,-0.64154245,-0.07534905,3.5244745,0.2598945,-0.2949557,2.3404486,2.9003079,2.0430915,-0.3947468,-0.6708854,0.5614889,-0.2585692,0.2187616,1.35918128,5.552447,5.45862,5.258074,5.942046,5.609357,5.702687,5.133108,5.345213,5.517348,5.158263,5.075343,5.097205,4.62711,4.650696,4.802952,4.823226,5.16424,5.438931,4.840752,4.877694,4.735351,5.00686,4.870427,4.789292,4.540179,4.354032,4.234087,4.416358,4.691214,4.585291
"algohs","s",74584,240049,194977,200982,185451,158704,45000,94470,75826,14709,172548,116217,12370,143697,110172,27313.0,45950,73007,17687.0,48520,2819,2339,28851,6045,12873,14182,12761,52261.0,44521,8972,2,5,3,1,1,4,1,1,3,1,4,3,2,3,2,1,1,3,1,2,5,2,5,4,1,1,1,1,2,1,1,3,1,2,2,1,0,3,3,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,-1.081958336,-0.50984128,-0.93032829,-0.5784470419,-0.57773456,-1.012533423,-0.53490042,-0.580608711,-0.70944819,-0.85183892,0.05920355,-0.52754891,-0.76154063,0.22875058,-0.35180232,-0.599385348,-0.70766113,-0.553051129,-0.079119288,0.1872313583,-0.815542686,-0.77552287,-0.35971779,-0.7730793,-0.925510726,-1.1535286841,-1.118634151,0.08795404,-0.459006782,-1.517516426,-0.4149043,0.6297193,-0.60972646,-0.6289416,-1.02534952,0.3681559,-0.73679027,-1.11666914,-0.3133741,-0.93666724,0.05247371,-0.6160506,-0.04780094,-0.02825134,-0.9597347,-0.5079696,-0.8855487,0.08280968,-0.8291744,-0.8531144,0.3426062,-0.49162695,0.1551469,-0.3535629,-0.3947468,-0.6708854,-0.5353731,-0.2585692,0.2187616,-0.7289259,-0.6598728,0.1203538,-0.9721828,0.1079727,-0.3065491,-0.8844506,-0.54649709,0.6077984,1.0646496,-0.6492146,-0.07507412,-0.68567636,-0.6396733,0.2598945,-0.8922409,0.06399664,-0.1546831,-0.8657167,-0.3947468,-0.6708854,-0.5353731,-0.2585692,0.2187616,-0.74451968,4.872646,5.3803,5.289983,5.303157,5.268229,5.200588,4.653213,4.975294,4.879818,4.167583,5.23691,5.06527,4.09237,5.157448,5.042071,4.436369,4.662286,4.863365,4.247654,4.685921,3.450095,3.36903,4.460161,3.781396,4.10968,4.151737,4.105885,4.718178,4.648565,3.952889
"alhehes","ses",417799,373299,317799,215602,523300,370500,33000,91500,64002,60599,83989,65998,52497,69257,26999,26997.0,49499,19500,6003.0,42001,44502,8102,14732,38999,33000,27003,45000,57000.0,72000,58999,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,3,1,1,1,1,4,1,1,2,1,0,2,1,1,0,1,0,2,1,1,1,1,0,0,2,0,0,0,0.7891216,0.02854479,-0.34639724,-0.5258328901,0.10927194,-0.003437,-0.61636855,-0.604447953,-0.81556361,-0.29367146,-0.70333052,-0.88022457,-0.20067111,-0.56143957,-1.04964673,-0.601862544,-0.67581703,-1.077259745,-0.475973891,0.0004136954,0.688638667,-0.46486962,-0.70355689,0.0271216,0.066995019,-0.6454525859,0.069027734,0.2208185,0.322755779,0.329998173,-0.9510883,-0.9109531,-1.68797956,-0.6289416,-1.02534952,-0.6982267,-0.73679027,-0.53765551,-0.8008449,-0.93666724,-0.92703562,-1.11363,-0.8508568,-0.62152952,-1.4699734,-0.5079696,-0.8855487,-0.54955516,-0.8291744,-0.8531144,-1.0278186,-0.97182072,-1.1930263,-1.3603182,-0.3947468,-0.6708854,1.6583508,-0.2585692,-0.6458675,-0.7289259,-0.6598728,0.6461099,-0.9721828,-0.7067303,-0.3065491,-0.8844506,-0.54649709,0.103455,-0.2038691,0.5754403,-0.64154245,-0.07534905,-0.6396733,0.2598945,-0.2949557,0.06399664,-0.1546831,-0.1385147,-0.3947468,-0.6708854,1.6583508,-0.2585692,-0.6458675,-0.74451968,5.620967,5.572057,5.502153,5.333653,5.718751,5.568788,4.518514,4.961421,4.806194,4.782465,4.924222,4.819531,4.720134,4.840464,4.431348,4.431316,4.694596,4.290035,3.778368,4.62326,4.64838,3.908592,4.168262,4.591053,4.518514,4.431412,4.653213,4.755875,4.857332,4.770845
"aljahs","s",610238,407865,818401,1043990,256702,701734,322154,32100,417915,162298,93920,451564,111067,75170,425354,307778.0,26557,344687,14376.0,5543,73228,51231,18750,26210,66408,30022,63477,50640.0,52101,58884,4,5,5,2,3,4,2,4,5,5,4,6,3,5,6,2,2,3,3,5,9,8,10,7,1,1,1,1,1,1,1,3,1,2,1,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1.838227122,0.16820598,2.03360839,2.4553526077,-0.43284764,1.574718603,1.34670104,-1.081232784,2.36065667,0.94330984,-0.61782,1.82751046,0.61798287,-0.49867231,2.29266159,1.599243062,-0.88166863,2.108600554,-0.191579541,-1.0443781978,1.72525104,1.85998961,-0.60570679,-0.28342551,1.714415494,-0.5258143563,0.749707304,0.04250705,-0.243359917,0.325751183,0.6574637,0.6297193,0.46852665,0.01534004,0.07887304,0.3681559,-0.08531256,0.62037174,0.6615676,1.08076989,0.05247371,0.8766875,0.75525492,1.15830502,1.0812201,0.399891,-0.2604555,0.08280968,0.4849888,0.6398358,2.1698393,2.38953566,2.4021022,1.1565701,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.7289259,-0.6598728,0.1203538,-0.9721828,0.1079727,-0.9043198,-0.209052,-0.54649709,-0.4008883,-0.2038691,-0.6492146,-0.64154245,-0.68567636,0.4013636,-0.9385078,-0.8922409,0.06399664,-0.7656813,-0.1385147,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.74451968,5.785499,5.610516,5.912966,6.018696,5.409429,5.846173,5.508064,4.506505,5.621088,5.210313,4.972758,5.654719,5.045585,4.876045,5.628751,5.488238,4.424179,5.537425,4.157638,3.743745,4.864677,4.709533,4.273001,4.418467,4.82222,4.47744,4.802616,4.704494,4.716846,4.769997
"amtafes","ses",254700,180700,189600,200001,333200,334900,76369,88950,138221,52741,138001,99176,45240,129001,78178,58386.0,69032,116577,17983.0,19918,21644,7501,9000,20998,37200,12001,21399,40500.0,49501,25499,2,2,3,2,1,2,1,1,3,1,3,2,1,2,2,1,1,2,2,1,2,2,4,3,1,1,1,1,1,2,1,2,4,3,3,3,0,1,2,0,1,1,0,1,3,2,3,2,0,0,0,0,0,1,-0.100033205,-0.74963621,-0.95589209,-0.5819774443,-0.2772911,-0.173052256,-0.32193595,-0.624915988,-0.14947931,-0.38924958,-0.23826214,-0.64722365,-0.30210481,0.07275065,-0.6202408,-0.355797091,-0.50055336,-0.126195403,-0.069065457,-0.6324279135,-0.136219845,-0.49726639,-0.84314791,-0.40998517,0.27410607,-1.2399582895,-0.80041636,-0.24178195,-0.317328499,-0.907168538,-0.4149043,-0.9109531,-0.60972646,0.01534004,-1.02534952,-0.6982267,-0.73679027,-1.11666914,-0.3133741,-0.93666724,-0.43728095,-1.11363,-0.8508568,-0.62152952,-0.9597347,-0.5079696,-0.8855487,-0.54955516,-0.1720928,-1.3507645,-1.0278186,-0.49162695,-0.2942441,-0.8569405,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.0343024,-0.6598728,-0.4054023,0.57187224,0.9226757,0.2912216,0.4663467,-0.54649709,-0.4008883,0.4303903,-0.6492146,-0.07507412,-0.07534905,-0.6396733,-0.3393067,0.8996148,0.82281396,1.0673133,0.5886874,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,-0.04328603,5.406029,5.256958,5.277838,5.301032,5.522705,5.524915,4.882917,4.949146,5.140574,4.722148,5.139882,4.996407,4.655523,5.110593,4.893085,4.766309,4.83905,5.066613,4.254862,4.299246,4.335338,3.875119,3.954243,4.322178,4.570543,4.079217,4.330393,4.607455,4.694614,4.406523
"Anmihs","s",167600,132000,230301,277500,3545600,178801,127499,189902,39300,38499,39000,111097,32600,33000,82517,70095.0,71905,34800,57404.0,117997,4500,5899,6000,28580,36000,18001,31502,45001.0,80300,39001,5,7,3,1,1,4,1,2,7,7,7,1,3,7,1,1,1,5,3,3,5,4,6,1,3,3,1,1,1,3,1,1,4,2,4,1,3,4,1,0,0,1,0,0,1,2,3,0,2,2,0,0,0,2,-0.57486986,-0.9464047,-0.76238785,-0.3030756557,6.25503458,-0.916781799,0.02518617,0.185393478,-1.03725367,-0.56247732,-1.09070668,-0.56350541,-0.47877864,-0.94631227,-0.5838354,-0.264007598,-0.4747748,-0.927365491,1.269894257,2.1782623081,-0.754881773,-0.58362185,-0.91620672,-0.22587631,0.214931484,-1.0021877108,-0.428229009,-0.11559016,0.558886252,-0.408534958,1.1936478,1.6568341,-0.60972646,-0.6289416,-1.02534952,0.3681559,-0.73679027,-0.53765551,1.6365092,2.08948845,1.52173772,-1.6112094,0.75525492,2.34486138,-1.4699734,-0.5079696,-0.8855487,1.34753936,0.4849888,-0.3554643,0.3426062,0.46876058,0.604538,-1.8636958,2.7256325,1.3037961,-0.5353731,-0.2585692,-0.6458675,0.6603211,-0.6598728,-0.9311584,0.57187224,0.1079727,0.8889924,-0.8844506,1.05441792,1.1121417,-0.2038691,-0.6492146,-0.64154245,-0.07534905,-0.6396733,-0.9385078,-0.2949557,0.82281396,1.0673133,-0.8657167,2.7256325,1.3037961,-0.5353731,-0.2585692,-0.6458675,0.65794763,5.224274,5.120574,5.362296,5.443263,6.54969,5.25237,5.105507,5.27853,4.594393,4.585449,4.591065,5.045702,4.513218,4.518514,4.916543,4.845687,4.856759,4.541579,4.758942,5.071871,3.653213,3.770778,3.778151,4.456062,4.556303,4.255297,4.498338,4.653222,4.904716,4.591076
"ayrehes","ses",241700,229500,238900,311099,190501,571400,85884,135432,86700,78333,94501,204885,70931,24001,48300,81384.0,22502,71701,4500.0,112930,14999,7402,70500,156585,37499,49501,15513,78000.0,34069,81797,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,3,1,2,3,0,7,0,0,1,6,0,1,3,0,1,2,0,2,0,0,0,2,-0.170904348,-0.55246368,-0.72150574,-0.1821602736,-0.56746553,0.953745719,-0.25733851,-0.251819818,-0.61185861,-0.07796996,-0.61281732,0.09514461,0.05698755,-1.04183781,-0.87092546,-0.17551058,-0.91805291,-0.565846025,-0.527024257,2.0330552061,-0.376012689,-0.50260297,0.65455761,2.8823872,0.288850404,0.2461078274,-1.017252424,0.80958271,-0.756360481,1.171936283,-0.9510883,-1.4245105,-1.68797956,-0.6289416,-1.02534952,-1.2314179,-0.73679027,-1.11666914,-1.2883158,-0.93666724,-1.41679029,-1.6112094,-0.8508568,-1.2148077,-1.4699734,-0.5079696,-0.8855487,-1.18191999,-0.8291744,-1.3507645,-1.4846269,-0.97182072,-1.6424173,-1.8636958,-0.3947468,1.3037961,-0.5353731,-0.2585692,-0.6458675,0.6603211,-0.6598728,-0.4054023,0.05718722,-0.7067303,-0.3065491,0.4663467,-0.54649709,2.6251717,-0.8381284,-0.6492146,-0.07507412,2.9762875,-0.6396733,-0.3393067,0.8996148,-0.69482068,-0.1546831,0.5886874,-0.3947468,1.3037961,-0.5353731,-0.2585692,-0.6458675,0.65794763,5.383277,5.360783,5.378216,5.492899,5.279897,5.75694,4.933912,5.131721,4.938019,4.893945,4.975436,5.31151,4.850836,4.380229,4.683947,4.910539,4.352221,4.855525,3.653213,5.052809,4.176062,3.869349,4.848189,5.19475,4.57402,4.694614,4.190696,4.892095,4.532359,4.912737
"bakafes","ses",300021,193256,567253,664832,328301,528476,304630,87985,327549,141421,101938,470115,102867,60072,277586,246428.0,76900,227962,58202.0,11085,99587,38554,41866,192529,35564,55841,31758,59635.0,60447,71213,8,2,5,5,5,2,6,5,5,8,2,2,2,1,2,2,2,2,4,5,5,3,3,4,1,1,2,1,1,3,4,3,8,4,1,6,1,0,2,1,0,3,4,2,6,5,0,5,0,0,1,0,0,2,0.147039952,-0.69890469,0.83957869,1.0908466866,-0.28725308,0.74923546,1.22773041,-0.632661735,1.54965984,0.68937953,-0.5487813,1.95778956,0.50336852,-0.65893952,1.05284731,1.118306571,-0.42995619,0.965044559,1.296998842,-0.8855588256,2.676447363,1.17663872,-0.04276434,3.75519235,0.193431384,0.4973520722,-0.41879815,0.29469439,-0.005920769,0.781065463,2.8021998,-0.9109531,0.46852665,1.94818496,1.18309559,-0.6982267,2.52059828,1.19938537,0.6615676,2.59384773,-0.92703562,-1.11363,-0.04780094,-1.2148077,-0.9597347,0.399891,-0.2604555,-0.54955516,1.1420704,0.6398358,0.3426062,-0.01143318,-0.7436352,-0.3535629,-0.3947468,-0.6708854,0.5614889,-0.2585692,-0.6458675,0.6603211,2.8360489,0.1203538,2.63061229,1.7373787,-0.9043198,2.4925426,-0.01285876,-0.9052316,0.4303903,0.5754403,-0.64154245,1.14530557,3.5244745,0.2598945,2.6914704,3.09926591,-0.7656813,2.7702935,-0.3947468,-0.6708854,0.5614889,-0.2585692,-0.6458675,0.65794763,5.477152,5.286133,5.753777,5.822712,5.516272,5.723025,5.483773,4.944409,5.515276,5.150514,5.008336,5.672204,5.012276,4.778672,5.443398,5.39169,4.885926,5.357862,4.764938,4.044736,4.998203,4.586069,4.621861,5.284496,4.551011,4.746953,4.501853,4.775501,4.781375,4.852559
"camefes","ses",282699,343298,307302,418802,104999,290900,230300,,140200,49520,152945,164585,15026,114746,76782,198401.0,,135700,31899.0,,4500,34494,38199,87803,76500,97599,62901,107501.0,,78000,3,6,5,3,1,5,3,2,5,5,7,6,2,6,2,1,2,5,1,1,6,1,5,1,2,,1,2,2,4,2,1,3,4,,1,0,,1,2,0,0,0,0,1,3,,0,1,,0,1,1,3,0.052606881,-0.09267187,-0.39630299,0.2054390418,-0.74133146,-0.382689088,0.72310325,,-0.13171862,-0.42842712,-0.10958737,-0.18787236,-0.72441676,-0.078568,-0.63195363,0.741812083,,0.06115282,0.403600467,,-0.754881773,0.95778532,-0.13206655,1.2121979,2.212073763,2.152156043,0.728487873,1.63668428,,1.031711746,0.1212797,1.1432767,0.46852665,0.65962168,-1.02534952,0.9013472,0.56616515,-0.53765551,0.6615676,1.08076989,1.52173772,0.8766875,-0.04780094,1.7515832,-0.9597347,-0.5079696,-0.2604555,1.34753936,-0.8291744,-1.3507645,0.7994145,-0.97182072,0.1551469,-1.8636958,1.1654429,,-0.5353731,1.692453,0.2187616,1.3549447,0.5054345,-0.9311584,0.05718722,1.7373787,,-0.8844506,-0.54649709,,-0.2038691,1.8000952,-0.64154245,-0.68567636,-0.6396733,-0.9385078,-0.2949557,1.58163128,,-0.8657167,1.1654429,,-0.5353731,1.692453,0.2187616,1.35918128,5.451324,5.535671,5.487565,5.622009,5.021185,5.463744,5.362294,,5.146748,4.694781,5.184535,5.21639,4.176843,5.059738,4.885259,5.297544,,5.13258,4.503777,,3.653213,4.537744,4.582052,4.943509,4.883661,4.989445,4.798658,5.031413,,4.892095
"chfofes","ses",371900,215999,213000,573700,401499,369001,54999,160400,152001,96902,101999,66000,75501,91503,59998,36000.0,99599,149000,18999.0,60801,3001,21401,10496,6002,48180,54000,43499,71299.0,95500,86500,3,5,3,2,4,6,3,6,7,3,7,7,2,5,4,2,5,6,4,8,7,3,6,5,1,2,1,1,1,1,1,2,1,1,1,1,1,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.538897402,-0.6070134,-0.84464177,0.7628827412,-0.13840699,-0.010578946,-0.46701711,-0.051409655,-0.02580961,0.14788777,-0.54825606,-0.88021053,0.12086408,-0.32529543,-0.77277602,-0.531285995,-0.22628496,0.191453053,-0.034556361,0.5391730238,-0.808974997,0.25201004,-0.80671592,-0.77412344,0.815553532,0.424396133,0.013731959,0.62171085,0.991317961,1.345619717,0.1212797,0.6297193,-0.60972646,0.01534004,0.63098432,1.4345384,0.56616515,1.778399,1.6365092,0.07205133,1.52173772,1.3742668,-0.04780094,1.15830502,0.0607427,0.399891,1.614824,1.97990419,1.1420704,2.132786,1.2562227,-0.01143318,0.604538,0.1498148,-0.3947468,0.3164554,-0.5353731,-0.2585692,-0.6458675,-0.7289259,-0.6598728,-0.4054023,-0.9721828,-0.7067303,-0.9043198,-0.8844506,-0.01285876,0.6077984,-0.8381284,0.5754403,-0.64154245,-0.68567636,-0.6396733,-0.3393067,-0.8922409,-0.69482068,-0.1546831,-0.8657167,-0.3947468,0.3164554,-0.5353731,-0.2585692,-0.6458675,-0.74451968,5.570426,5.334452,5.32838,5.758685,5.603684,5.567028,4.740355,5.205204,5.181846,4.986333,5.008596,4.819544,4.877953,4.961435,4.778137,4.556303,4.998255,5.173186,4.278731,4.783911,3.477266,4.330434,4.021024,3.778296,4.682867,4.732394,4.638479,4.853083,4.980003,4.937016
"cofrhs","s",108097,195000,441800,338301,715398,223401,69300,335596,24100,29521,64799,328201,25601,56999,268432,63299.0,289897,17999,6001.0,45699,6101,3920,7800,59769,21878,61101,44300,81001.0,112503,43500,2,2,2,1,1,2,1,2,2,4,4,3,1,2,1,1,1,2,1,2,6,4,8,5,1,1,1,1,1,3,1,2,6,1,2,1,1,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,-0.899257982,-0.69185819,0.24313911,-0.084266282,0.49989786,-0.704286283,-0.36992746,1.354832691,-1.17366728,-0.67167818,-0.86856532,0.9611625,-0.57660618,-0.69155981,0.97604273,-0.317282976,1.48120118,-1.091965057,-0.476041823,0.1063888016,-0.697107756,-0.69029941,-0.87237143,0.53146622,-0.48145477,0.7057976129,0.043240231,0.89371992,1.475044036,-0.242385315,-0.4149043,-0.9109531,-1.14885301,-0.6289416,-1.02534952,-0.6982267,-0.73679027,-0.53765551,-0.8008449,0.57641061,0.05247371,-0.6160506,-0.8508568,-0.62152952,-1.4699734,-0.5079696,-0.8855487,-0.54955516,-0.8291744,-0.8531144,0.7994145,0.46876058,1.5033201,0.1498148,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,0.6603211,-0.6598728,-0.4054023,1.60124226,-0.7067303,-0.3065491,-0.8844506,-0.01285876,0.6077984,-0.8381284,-0.6492146,-0.64154245,-0.68567636,-0.6396733,-0.9385078,2.6914704,-0.69482068,-0.1546831,-0.8657167,-0.3947468,-0.6708854,-0.5353731,-0.2585692,-0.6458675,0.65794763,5.033814,5.290035,5.645226,5.529303,5.854548,5.349085,4.840733,5.525817,4.382017,4.470131,4.811568,5.51614,4.408257,4.755867,5.428834,4.801397,5.462244,4.255248,3.778224,4.659907,3.785401,3.593286,3.892095,4.776476,4.340008,4.786048,4.646404,4.90849,5.051164,4.638489
"DADEHES","ses",,128398,168000,256550,255799,302399,59470,46508,132137,,26235,48053,,19137,45055,51969.0,23254,85991,7501.0,23254,46146,,7098,2998,,26999,38999,26254.0,15198,52199,1,4,3,5,4,4,6,3,3,2,5,3,4,4,4,3,3,5,3,3,6,5,7,5,1,1,2,,1,1,,2,1,1,1,4,1,3,0,,0,1,,1,0,0,0,3,0,0,1,,0,0,,-0.9609583,-1.05858469,-0.3784700797,-0.43468387,-0.327902408,-0.43666344,-0.965584369,-0.20408065,,-1.20061925,-1.00624789,,-1.09346979,-0.89815191,-0.406101402,-0.91130545,-0.425846751,-0.425093354,-0.5368267901,0.747964391,,-0.88946719,-0.84706765,,-0.6456110996,-0.152044848,-0.64118838,-1.293230138,0.078871796,-0.9510883,0.1161618,-0.60972646,1.94818496,0.63098432,0.3681559,2.52059828,0.04135812,-0.3133741,-0.43230795,0.54222838,-0.6160506,1.55831078,0.56502684,0.0607427,1.3077516,0.3646377,1.34753936,0.4849888,-0.3554643,0.7994145,0.94895435,1.053929,0.1498148,-0.3947468,-0.6708854,0.5614889,,-0.6458675,-0.7289259,,-0.4054023,-0.9721828,-0.7067303,-0.9043198,1.1417453,-0.01285876,0.6077984,-0.8381284,,-0.64154245,-0.07534905,,-0.3393067,-0.8922409,-0.69482068,-0.7656813,1.3158894,-0.3947468,-0.6708854,0.5614889,,-0.6458675,-0.74451968,,5.108558,5.225309,5.409172,5.407899,5.48058,4.774298,4.667528,5.121024,,4.418881,4.681721,,4.281874,4.653743,4.715744,4.366498,4.934453,3.875119,4.366498,4.664134,,3.851136,3.476832,,4.431348,4.591053,4.419195,4.181786,4.717662
